Tier;FICO;Approve Date;Term;Amount;Previous APR;Car  Type;Competition APR;Accept;APR;Prime;Partner Bin
2;704;26-08-2002;60;19160; ;U;5,75;0;5,35;1,81;1
3;695;27-08-2002;60;20387; ;U;5,75;1;5,98;1,81;3
2;709;29-08-2002;60;18110; ;U;5,75;1;5,35;1,82;2
2;703;29-08-2002;60;18556; ;U;5,75;1;5,35;1,82;2
2;704;30-08-2002;60;22396; ;U;5,75;1;5,35;1,82;1
2;700;30-08-2002;60;20049; ;U;5,75;1;5,35;1,82;1
2;710;02-09-2002;60;23634; ;U;5,75;1;5,35;1,82;2
3;694;02-09-2002;60;25000; ;U;5,75;0;6,44;1,82;1
2;700;04-09-2002;60;19730; ;U;5,75;0;5,35;1,81;1
3;693;04-09-2002;60;20941; ;U;5,75;0;6,44;1,81;1
2;708;05-09-2002;60;19683; ;U;5,75;1;5,35;1,81;3
3;685;05-09-2002;60;24000; ;U;5,75;0;6,44;1,81;3
3;687;07-09-2002;60;19000; ;U;5,75;1;6,44;1,81;3
2;712;06-09-2002;60;22041; ;U;5,75;0;5,35;1,81;3
3;692;08-09-2002;60;18425; ;U;5,75;0;6,44;1,81;3
3;684;08-09-2002;60;19954; ;U;5,75;0;6,44;1,81;1
2;709;09-09-2002;60;18915; ;U;5,75;1;5,35;1,81;1
3;691;10-09-2002;60;20161; ;U;5,75;1;6,44;1,82;3
3;685;09-09-2002;60;20984; ;U;5,75;0;6,44;1,81;1
2;712;17-09-2002;60;25000; ;U;5,75;0;5,35;1,82;3
2;703;17-09-2002;60;19570; ;U;5,75;1;5,35;1,82;1
3;699;19-09-2002;60;22000; ;U;5,75;0;6,44;1,82;1
3;694;23-09-2002;60;23216; ;U;5,50;0;4,89;1,81;1
3;693;26-09-2002;60;17850; ;U;5,50;1;5,98;1,81;1
3;692;26-09-2002;60;21800; ;U;5,50;1;6,14;1,81;1
3;696;27-09-2002;60;25000; ;U;5,50;1;6,14;1,82;3
3;687;30-09-2002;60;21500; ;U;5,50;0;6,14;1,81;1
3;685;30-09-2002;60;20000; ;U;5,50;1;5,59;1,81;3
3;692;30-09-2002;60;23354; ;U;5,50;0;6,14;1,81;3
3;698;30-09-2002;60;18500; ;U;5,50;0;6,14;1,81;3
2;712;30-09-2002;60;22862; ;U;5,50;1;4,93;1,81;1
3;698;02-10-2002;60;21079; ;U;5,50;1;6,14;1,80;3
3;697;06-10-2002;60;22000; ;U;5,50;0;6,14;1,80;1
2;701;07-10-2002;60;23515; ;U;5,50;1;4,93;1,80;3
2;702;07-10-2002;60;24198; ;U;5,50;0;4,89;1,80;1
2;708;07-10-2002;60;21000; ;U;5,50;1;4,89;1,80;1
2;710;08-10-2002;60;21000; ;U;5,50;0;4,95;1,80;3
3;701;09-10-2002;60;20000; ;U;5,50;0;5,99;1,80;3
3;685;09-10-2002;60;24000; ;U;5,50;0;4,89;1,80;3
3;690;12-10-2002;60;19998; ;U;5,40;1;6,2;1,80;1
3;693;12-10-2002;60;20043; ;U;5,40;1;6,14;1,80;3
3;694;14-10-2002;60;18502; ;U;5,40;1;5,19;1,81;3
3;684;14-10-2002;60;20000; ;U;5,40;0;6,99;1,81;1
2;702;17-10-2002;60;20000; ;U;5,40;1;4,69;1,83;1
2;709;17-10-2002;60;22700; ;U;5,40;1;4,69;1,83;3
2;701;16-10-2002;60;17879; ;U;5,40;1;4,59;1,82;3
3;684;17-10-2002;60;19000; ;U;5,40;0;6,99;1,83;3
2;707;18-10-2002;60;23829; ;U;5,40;1;4,89;1,83;1
2;708;19-10-2002;60;18251; ;U;5,40;1;4,93;1,83;1
1;708;28-10-2002;60;24800; ;U;5,40;0;4,89;1,80;1
3;686;21-10-2002;60;20500; ;U;5,40;1;6,14;1,83;1
2;704;20-10-2002;60;24000; ;U;5,40;1;4,59;1,83;3
2;706;22-10-2002;60;24440; ;U;5,40;0;4,89;1,83;1
2;709;22-10-2002;60;24000; ;U;5,40;0;4,89;1,83;3
2;707;26-10-2002;60;20205; ;U;5,40;0;6,99;1,82;1
2;702;26-10-2002;60;18000; ;U;5,40;0;5,25;1,82;3
2;701;28-10-2002;60;23978; ;U;5,40;1;5,25;1,80;1
2;703;28-10-2002;60;23687; ;U;5,40;1;5,25;1,80;3
2;703;28-10-2002;60;19350; ;U;5,40;1;5,25;1,80;1
2;700;28-10-2002;60;24000; ;U;5,40;1;5,25;1,80;2
2;701;29-10-2002;60;21520; ;U;5,40;1;5,25;1,79;3
3;689;30-10-2002;60;21837; ;U;5,40;1;5,98;1,74;1
3;696;30-10-2002;60;18600; ;U;5,40;1;6,14;1,74;3
3;689;30-10-2002;60;22000; ;U;5,40;0;5,7;1,74;1
3;699;31-10-2002;60;23716; ;U;5,40;1;6,14;1,72;3
3;689;02-11-2002;60;20100; ;U;5,40;1;5,99;1,69;1
3;688;02-11-2002;60;18166; ;U;5,40;1;5,64;1,69;1
2;706;03-11-2002;60;23600; ;U;5,40;0;4,64;1,69;1
2;712;04-11-2002;60;21213; ;U;5,40;1;5,14;1,65;1
3;698;05-11-2002;60;25000; ;U;5,40;0;6,99;1,64;1
3;686;06-11-2002;60;22000; ;U;5,40;0;5,99;1,63;1
3;698;06-11-2002;60;23500; ;U;5,40;0;6,14;1,63;1
3;692;07-11-2002;60;22000; ;U;5,40;0;5,98;1,38;3
2;702;09-11-2002;60;20681; ;U;5,40;1;4,89;1,38;1
2;707;09-11-2002;60;19958; ;U;5,40;1;5,14;1,38;1
2;704;10-11-2002;60;18782; ;U;5,40;1;4,69;1,38;3
2;710;11-11-2002;60;22807; ;U;5,40;1;4,59;1,38;3
2;708;12-11-2002;60;24000; ;U;5,40;1;4,69;1,38;2
2;707;13-11-2002;60;22513; ;U;5,40;1;4,59;1,38;2
3;699;13-11-2002;60;22962; ;U;5,40;1;6,99;1,38;1
2;708;14-11-2002;60;21304; ;U;5,40;1;4,64;1,38;1
3;696;15-11-2002;60;19380; ;U;5,40;0;6,14;1,39;3
3;692;18-11-2002;60;18816; ;U;5,40;1;6,99;1,39;1
3;693;19-11-2002;60;25000; ;U;5,40;0;6,14;1,39;3
3;691;19-11-2002;60;23000; ;U;5,40;0;5,59;1,39;1
2;705;19-11-2002;60;19500; ;U;5,40;0;5,14;1,39;3
3;690;19-11-2002;60;20500; ;U;5,40;0;6,14;1,39;3
2;701;25-11-2002;60;18549; ;U;5,40;1;4,69;1,38;3
3;694;25-11-2002;60;22000; ;U;5,40;0;5,59;1,38;1
3;696;27-11-2002;60;22000; ;U;5,40;0;5,98;1,38;3
2;709;28-11-2002;60;25000; ;U;5,40;1;4,99;1,44;1
3;688;01-12-2002;60;21754; ;U;5,40;1;5,99;1,44;1
2;710;02-12-2002;60;19000; ;U;5,40;1;4,99;1,44;1
2;707;02-12-2002;60;25000; ;U;5,40;0;4,99;1,44;1
3;691;06-12-2002;60;24000; ;U;5,40;1;5,98;1,43;3
2;703;07-12-2002;60;19889; ;U;5,40;0;4,99;1,43;1
2;709;07-12-2002;60;22081; ;U;5,40;1;4,99;1,43;1
2;707;09-12-2002;60;24169; ;U;5,40;0;4,99;1,42;1
3;694;10-12-2002;60;17836; ;U;5,40;1;5,7;1,42;1
2;707;10-12-2002;60;22406; ;U;5,40;0;4,99;1,42;1
2;700;11-12-2002;60;20000; ;U;5,40;0;4,99;1,42;1
3;688;21-12-2002;60;24299; ;U;5,20;1;5,79;1,42;2
2;706;21-12-2002;60;22649; ;U;5,20;1;4,79;1,42;3
2;702;22-12-2002;60;18706; ;U;5,20;1;4,99;1,42;1
2;703;22-12-2002;60;24377; ;U;5,20;1;4,99;1,42;1
2;709;26-12-2002;60;18027; ;U;5,20;1;4,99;1,42;1
2;702;27-12-2002;60;24663; ;U;5,20;1;4,79;1,42;3
2;700;27-12-2002;60;18839; ;U;5,20;1;4,99;1,42;1
2;711;27-12-2002;60;18591; ;U;5,20;1;4,95;1,42;3
3;686;29-12-2002;60;22490; ;U;5,20;1;6,29;1,42;1
3;697;03-01-2003;60;19409; ;U;5,20;1;5,99;1,38;1
2;706;06-01-2003;60;17942; ;U;5,20;1;4,79;1,38;1
2;709;09-01-2003;60;19581; ;U;5,20;1;4,99;1,38;1
2;704;13-01-2003;60;21740; ;U;5,20;1;4,79;1,37;3
2;701;14-01-2003;60;17915; ;U;5,20;1;4,85;1,37;1
3;699;14-01-2003;60;22565; ;U;5,20;1;5,15;1,37;1
2;702;16-01-2003;60;21175; ;U;5,20;1;4,85;1,36;3
2;706;17-01-2003;60;18446; ;U;5,20;1;4,34;1,36;1
3;694;17-01-2003;60;18299; ;U;5,20;1;5,15;1,36;3
3;692;19-01-2003;60;17837; ;U;5,20;1;5,15;1,36;3
3;686;19-01-2003;60;24060; ;U;5,20;1;5,15;1,36;2
3;686;19-01-2003;60;23376; ;U;5,20;0;5,15;1,36;2
2;708;22-01-2003;60;19291; ;U;5,20;1;4,85;1,36;1
3;692;23-01-2003;60;19322; ;U;5,20;1;5,15;1,35;1
2;711;23-01-2003;60;24443; ;U;5,20;1;4,85;1,35;2
3;691;25-01-2003;60;23128; ;U;5,20;1;5,15;1,35;2
3;690;28-01-2003;60;20255; ;U;5,20;1;5,15;1,34;2
3;696;27-01-2003;60;19403; ;U;5,20;1;5,15;1,34;1
2;711;28-01-2003;60;22734; ;U;5,20;1;4,85;1,34;3
2;711;29-01-2003;60;19858; ;U;5,20;1;4,85;1,34;1
2;702;30-01-2003;60;17815; ;U;5,20;1;4,85;1,34;1
2;708;02-02-2003;60;20000; ;U;5,20;1;4,85;1,34;2
3;685;03-02-2003;60;19776; ;U;5,20;1;5,15;1,34;2
2;706;04-02-2003;60;18228; ;U;5,20;1;4,85;1,34;3
2;705;04-02-2003;60;21060; ;U;5,20;1;4,85;1,34;3
3;697;05-02-2003;60;21994; ;U;5,20;1;5,09;1,34;2
2;706;06-02-2003;60;19245; ;U;5,20;1;4,85;1,34;1
2;708;07-02-2003;60;22355; ;U;5,20;1;4,34;1,34;3
2;708;08-02-2003;60;20170; ;U;5,20;1;4,34;1,34;1
2;708;09-02-2003;60;24343; ;U;5,20;1;4,34;1,34;3
3;697;09-02-2003;60;22060; ;U;5,20;1;5,15;1,34;2
2;709;10-02-2003;60;21174; ;U;5,20;1;4,49;1,34;1
2;702;10-02-2003;60;24925; ;U;5,20;1;4,34;1,34;2
2;702;12-02-2003;60;20000; ;U;5,20;1;4,34;1,34;1
3;690;12-02-2003;60;20776; ;U;5,20;1;5,15;1,34;3
3;693;12-02-2003;60;20898; ;U;5,20;1;5,15;1,34;1
3;698;15-02-2003;60;22915; ;U;4,69;1;5,15;1,34;3
3;697;15-02-2003;60;21558; ;U;4,69;1;5,15;1,34;3
3;685;16-02-2003;60;22784; ;U;4,69;1;5,15;1,34;1
2;701;20-02-2003;60;25000; ;U;4,69;1;4,34;1,34;1
2;711;20-02-2003;60;20703; ;U;4,69;1;4,34;1,34;2
2;712;21-02-2003;60;18425; ;U;4,69;1;4,34;1,34;3
2;704;24-02-2003;60;24000; ;U;4,69;1;4,64;1,34;2
2;702;24-02-2003;60;21000; ;U;4,69;1;4,34;1,34;1
3;692;25-02-2003;60;18531; ;U;4,69;1;5,15;1,34;1
2;710;25-02-2003;60;19804; ;U;4,69;1;4,49;1,34;1
3;698;27-02-2003;60;24000; ;U;4,69;1;5,15;1,34;3
3;694;27-02-2003;60;22339; ;U;4,69;1;5,15;1,34;3
2;704;27-02-2003;60;19597; ;U;4,69;1;4,64;1,34;3
2;705;27-02-2003;60;24549; ;U;4,69;1;4,49;1,34;3
3;698;28-02-2003;60;19177; ;U;4,69;1;5,15;1,34;1
3;695;01-03-2003;60;19680; ;U;4,69;1;5,15;1,34;1
2;701;02-03-2003;60;22001; ;U;4,69;1;4,49;1,34;3
2;705;01-03-2003;60;19061; ;U;4,69;1;4,34;1,34;3
3;698;04-03-2003;60;21863; ;U;4,69;1;5,15;1,33;1
2;708;05-03-2003;60;19602; ;U;4,69;1;4,34;1,33;1
2;702;05-03-2003;60;19154; ;U;4,69;1;4,34;1,33;3
3;699;07-03-2003;60;18000; ;U;4,69;1;5,15;1,32;3
2;702;07-03-2003;60;22721; ;U;4,69;1;4,34;1,32;1
2;702;08-03-2003;60;18200; ;U;4,69;1;4,39;1,32;1
3;690;09-03-2003;60;18345; ;U;4,69;1;5,15;1,32;1
3;684;09-03-2003;60;22210; ;U;4,69;1;5,15;1,32;1
2;706;08-03-2003;60;18054; ;U;4,69;1;4,34;1,32;3
2;708;09-03-2003;60;18105; ;U;4,69;1;4,34;1,32;3
3;695;09-03-2003;60;19841; ;U;4,69;1;5,15;1,32;1
2;703;10-03-2003;60;20954; ;U;4,69;1;4,34;1,29;3
3;684;11-03-2003;60;17991; ;U;4,69;1;5,09;1,27;1
3;692;11-03-2003;60;23163; ;U;4,69;1;5,15;1,27;3
2;705;11-03-2003;60;24500; ;U;4,69;1;4,08;1,27;1
3;687;12-03-2003;60;20789; ;U;4,69;1;5,15;1,27;3
3;696;13-03-2003;60;19977; ;U;4,69;1;5,15;1,28;1
2;701;14-03-2003;60;19171; ;U;4,69;1;4,2;1,30;1
2;705;14-03-2003;60;23500; ;U;4,69;1;4,49;1,30;3
3;690;17-03-2003;60;19017; ;U;4,69;1;5,15;1,28;1
2;702;19-03-2003;60;23924; ;U;4,69;1;4,85;1,30;1
2;707;21-03-2003;60;23718; ;U;4,69;1;4,25;1,31;3
2;703;23-03-2003;60;20615; ;U;4,69;1;4,35;1,31;1
3;698;24-03-2003;60;22858; ;U;4,69;1;5,15;1,31;2
2;703;24-03-2003;60;20348; ;U;4,69;1;4,49;1,31;3
3;697;24-03-2003;60;20993; ;U;4,69;1;5,15;1,31;3
3;686;18-04-2003;60;22770; ;U;4,69;1;5,15;1,32;3
2;702;26-03-2003;60;25000; ;U;4,69;1;4,64;1,31;1
2;705;27-03-2003;60;18668; ;U;4,69;1;4,35;1,31;1
3;689;29-03-2003;60;25000; ;U;4,69;1;4,99;1,31;3
3;691;28-03-2003;60;23000; ;U;4,69;1;5,15;1,31;3
3;699;29-03-2003;60;22365; ;U;4,69;1;5,15;1,31;1
3;696;30-03-2003;60;20000; ;U;4,69;1;5,15;1,31;3
2;704;31-03-2003;60;23428; ;U;4,69;1;4,35;1,30;1
3;687;31-03-2003;60;18200; ;U;4,69;1;4,99;1,30;1
3;687;31-03-2003;60;19285; ;U;4,69;1;5,15;1,30;3
3;689;04-04-2003;60;19183; ;U;4,69;1;5,15;1,30;1
2;710;08-04-2003;60;21726; ;U;4,69;1;4,85;1,31;3
3;685;08-04-2003;60;22600; ;U;4,69;1;4,65;1,31;2
2;711;10-04-2003;60;22260; ;U;4,69;1;4,85;1,30;1
3;696;11-04-2003;60;21722; ;U;4,69;1;5,15;1,31;3
3;699;15-04-2003;60;20996; ;U;4,69;1;5,15;1,32;1
2;705;16-04-2003;60;24329; ;U;4,69;1;4,35;1,33;3
2;705;18-04-2003;60;20994; ;U;4,69;1;4,35;1,32;1
3;694;21-04-2003;60;18998; ;U;4,69;1;5,15;1,32;1
2;703;22-04-2003;60;20940; ;U;4,69;1;4,35;1,32;1
1;705;22-04-2003;60;24357; ;U;4,69;1;4,49;1,32;3
3;691;22-04-2003;60;24000; ;U;4,69;1;4,65;1,32;3
3;696;25-04-2003;60;20246; ;U;4,69;1;5,15;1,32;3
2;708;25-04-2003;60;19663; ;U;4,69;1;4,49;1,32;3
3;695;26-04-2003;60;23535; ;U;4,69;1;4,95;1,32;1
2;711;28-04-2003;60;20339; ;U;4,69;1;4,35;1,32;1
3;694;30-04-2003;60;19329; ;U;4,69;1;5,15;1,32;1
2;705;01-05-2003;60;18383; ;U;4,69;1;4,35;1,31;3
3;698;01-05-2003;60;21633; ;U;4,69;1;5,15;1,31;1
2;707;02-05-2003;60;20407; ;U;4,69;1;4,35;1,31;3
2;709;05-05-2003;60;24444; ;U;4,69;1;4,85;1,31;1
2;707;07-05-2003;60;20597; ;U;4,69;1;4,49;1,31;3
2;712;09-05-2003;60;22305; ;U;4,69;1;4,35;1,31;1
3;687;12-05-2003;60;20072; ;U;4,69;1;6,49;1,31;3
2;700;11-05-2003;60;20745; ;U;4,69;1;4,35;1,31;3
3;686;13-05-2003;60;18451; ;U;4,69;1;5,15;1,31;1
3;698;14-05-2003;60;20644; ;U;4,69;1;5,15;1,31;3
2;702;13-05-2003;60;24050; ;U;4,69;1;4,35;1,31;1
3;698;15-05-2003;60;21554; ;U;4,69;1;5,15;1,32;1
2;711;15-05-2003;60;19309; ;U;4,69;1;4,85;1,32;3
2;704;17-05-2003;60;20000; ;U;4,69;1;4,85;1,32;1
3;686;18-05-2003;60;21320; ;U;4,69;1;5,15;1,32;1
3;690;19-05-2003;60;18342; ;U;4,69;1;4,65;1,32;1
2;707;22-05-2003;60;23615; ;U;4,69;1;4,35;1,32;1
2;706;22-05-2003;60;20675; ;U;4,69;1;4,35;1,32;3
3;689;22-05-2003;60;23500; ;U;4,69;1;4,99;1,32;3
3;689;23-05-2003;60;19521; ;U;4,49;1;5,15;1,32;1
3;696;23-05-2003;60;25000; ;U;4,49;1;4,95;1,32;1
2;708;24-05-2003;60;19357; ;U;4,49;1;4,64;1,32;1
2;709;30-05-2003;60;19609; ;U;4,49;1;4,29;1,32;2
3;686;31-05-2003;60;20257; ;U;4,49;1;4,95;1,32;3
2;703;31-05-2003;60;22721; ;U;4,49;1;4,29;1,32;1
2;712;02-06-2003;60;18330; ;U;4,49;1;4,49;1,32;1
2;709;02-06-2003;60;21343; ;U;4,49;1;4,35;1,32;3
3;689;02-06-2003;60;20000; ;U;4,49;1;5,15;1,32;3
2;705;02-06-2003;60;23045; ;U;4,49;1;4,49;1,32;1
2;701;03-06-2003;60;18732; ;U;4,49;1;4,35;1,32;1
2;712;04-06-2003;60;24912; ;U;4,49;1;4,29;1,31;3
3;695;05-06-2003;60;20590; ;U;4,49;1;5,15;1,29;3
3;690;07-06-2003;60;19685; ;U;4,49;1;5,15;1,27;3
2;700;10-06-2003;60;24000; ;U;4,29;1;4,29;1,25;3
2;711;12-06-2003;60;18408; ;U;4,29;1;4,35;1,18;1
2;707;15-06-2003;60;18614; ;U;4,29;1;4,85;1,14;1
2;707;16-06-2003;60;19476; ;U;4,29;1;4,35;1,11;3
2;700;20-06-2003;60;21903; ;U;4,29;1;4,35;1,04;3
2;703;21-06-2003;60;18000; ;U;4,29;1;4,35;1,04;3
2;707;23-06-2003;60;19438; ;U;4,29;1;4,29;1,04;3
2;711;23-06-2003;60;17987; ;U;4,29;1;4,35;1,04;3
2;712;23-06-2003;60;22800; ;U;4,29;1;4,29;1,04;1
2;711;23-06-2003;60;20070; ;U;4,29;1;4,35;1,04;1
3;698;26-06-2003;60;24482; ;U;4,29;1;5,15;1,11;3
2;707;27-06-2003;60;21618; ;U;4,09;1;4,49;1,12;1
2;701;28-06-2003;60;22999; ;U;4,09;1;4,35;1,12;3
3;692;01-07-2003;60;21673; ;U;4,09;1;5,15;1,12;1
3;699;01-07-2003;60;20000; ;U;4,09;1;5,15;1,12;1
2;705;01-07-2003;60;20131; ;U;4,09;1;4,29;1,12;1
3;690;01-07-2003;60;21960; ;U;4,09;1;4,89;1,12;1
2;702;01-07-2003;60;22501; ;U;4,09;1;4,35;1,12;1
3;686;02-07-2003;60;18837; ;U;4,09;1;5,15;1,12;3
3;696;08-07-2003;60;19535; ;U;4,09;1;5,15;1,11;1
2;708;04-07-2003;60;23451; ;U;4,09;1;4,35;1,12;1
2;710;07-07-2003;60;22800; ;U;4,09;1;4,29;1,11;1
3;687;09-07-2003;60;22717; ;U;4,09;1;5,15;1,11;3
3;685;09-07-2003;60;23000; ;U;4,09;1;5,15;1,11;1
2;708;16-07-2003;60;18949; ;U;4,09;1;4,29;1,10;1
2;702;18-07-2003;60;22778; ;U;4,09;1;4,35;1,10;3
3;687;18-07-2003;60;24862; ;U;4,09;1;5,15;1,10;1
3;687;21-07-2003;60;24479; ;U;4,09;1;5,15;1,10;3
2;702;21-07-2003;60;18140; ;U;4,09;1;4,35;1,10;1
3;693;21-07-2003;60;25000; ;U;4,09;1;4,65;1,10;1
2;705;23-07-2003;60;18094; ;U;4,09;1;4,35;1,10;3
2;704;24-07-2003;60;23010; ;U;4,09;1;4,49;1,10;1
3;690;25-07-2003;60;18590; ;U;4,29;1;5,15;1,10;1
3;686;25-07-2003;60;17984; ;U;4,29;1;5,15;1,10;1
2;706;28-07-2003;60;23251; ;U;4,29;1;4,35;1,10;3
3;690;29-07-2003;60;18256; ;U;4,29;1;5,15;1,10;1
2;706;30-07-2003;60;23420; ;U;4,29;1;4,35;1,10;1
2;706;01-08-2003;60;20087; ;U;4,29;1;4,35;1,11;3
2;703;05-08-2003;60;22100; ;U;4,55;1;4,89;1,11;1
3;685;06-08-2003;60;21505; ;U;4,55;1;5,55;1,11;3
3;685;06-08-2003;60;18562; ;U;4,55;0;5,55;1,11;3
2;711;06-08-2003;60;19995; ;U;4,55;1;4,89;1,11;3
2;702;07-08-2003;60;21000; ;U;4,55;1;4,89;1,11;3
3;694;07-08-2003;60;17815; ;U;4,55;1;5,55;1,11;3
2;701;07-08-2003;60;19669; ;U;4,55;1;4,89;1,11;3
3;690;07-08-2003;60;19705; ;U;4,55;1;5,55;1,11;1
2;711;08-08-2003;60;20190; ;U;4,55;1;4,89;1,11;1
2;708;08-08-2003;60;23102; ;U;4,55;1;4,84;1,11;3
3;691;12-08-2003;60;22724; ;U;4,55;1;5,55;1,11;1
2;708;14-08-2003;60;23963; ;U;4,79;1;4,89;1,11;3
2;703;15-08-2003;60;23612; ;U;4,79;1;5,09;1,11;1
2;707;25-08-2003;60;24465; ;U;4,79;1;4,99;1,11;1
3;696;26-08-2003;60;22530; ;U;4,79;1;5,69;1,11;1
3;692;28-08-2003;60;18400; ;U;4,79;1;5,69;1,12;1
3;690;29-08-2003;60;20557; ;U;4,79;1;5,69;1,12;3
3;689;30-08-2003;60;24000; ;U;4,79;1;5,69;1,12;1
3;689;30-08-2003;60;20287; ;U;4,79;1;5,69;1,12;3
3;693;01-09-2003;60;24580; ;U;4,79;1;5,69;1,12;1
3;689;03-09-2003;60;18405; ;U;4,79;1;5,69;1,12;1
2;705;06-09-2003;60;19315; ;U;4,79;1;4,99;1,12;3
2;705;06-09-2003;60;19707; ;U;4,79;1;4,99;1,12;1
3;691;08-09-2003;60;19000; ;U;4,79;1;5,69;1,12;3
3;684;09-09-2003;60;19309; ;U;4,79;1;5,69;1,12;3
2;706;09-09-2003;60;22956; ;U;4,79;1;4,99;1,12;1
2;712;10-09-2003;60;22683; ;U;4,79;1;4,99;1,12;1
3;696;29-09-2003;60;24000; ;U;4,59;1;5,69;1,12;1
3;688;11-09-2003;60;22792; ;U;4,79;1;5,69;1,12;1
3;693;12-09-2003;60;23747; ;U;4,79;1;5,69;1,12;3
2;706;12-09-2003;60;23812; ;U;4,79;1;4,99;1,12;1
3;690;16-09-2003;60;22416; ;U;4,79;1;5,69;1,12;1
3;685;15-09-2003;60;18000; ;U;4,79;1;5,69;1,12;3
2;707;17-09-2003;60;21500; ;U;4,79;1;4,99;1,12;1
2;709;21-09-2003;60;21640; ;U;4,79;1;4,99;1,12;1
3;696;27-09-2003;60;19338; ;U;4,59;1;5,69;1,12;3
3;692;28-09-2003;60;21043; ;U;4,59;1;5,69;1,12;1
2;708;30-09-2003;60;23535; ;U;4,59;1;4,99;1,12;3
3;690;30-09-2003;60;22896; ;U;4,59;1;5,69;1,12;3
3;687;06-10-2003;60;20529; ;U;4,55;1;5,69;1,12;1
2;711;06-10-2003;60;19005; ;U;4,55;1;4,99;1,12;3
2;712;06-10-2003;60;21154; ;U;4,55;1;4,99;1,12;1
3;689;06-10-2003;60;21670; ;U;4,55;1;5,69;1,12;1
2;709;06-10-2003;60;21674; ;U;4,55;1;4,99;1,12;3
3;698;08-10-2003;60;21716; ;U;4,55;1;5,69;1,12;3
3;689;13-10-2003;60;19678; ;U;4,55;1;5,69;1,12;3
3;685;13-10-2003;60;22016; ;U;4,55;1;5,69;1,12;1
2;706;13-10-2003;60;18319; ;U;4,55;1;4,99;1,12;1
2;705;13-10-2003;60;17916; ;U;4,55;1;5,19;1,12;1
3;689;16-10-2003;60;22439; ;U;4,55;1;5,69;1,12;3
2;703;16-10-2003;60;19016; ;U;4,55;1;4,99;1,12;3
2;704;19-10-2003;60;18676; ;U;4,55;1;4,99;1,12;1
3;695;20-10-2003;60;21400; ;U;4,55;1;5,69;1,12;1
3;699;21-10-2003;60;23071; ;U;4,55;1;5,69;1,12;1
3;692;22-10-2003;60;20000; ;U;4,55;1;5,69;1,12;1
2;703;25-10-2003;60;23549; ;U;4,65;1;4,99;1,12;3
